Name,Club,Division,Nat,Position,Home Grown Status,Preferred Foot,Inf,WR,Age,Mins,Ps C/90,Pr passes/90,Pas %,NP-xG/90,xA/90,Drb/90,Tck R,Hdr %,Tck/90,K Tck/90,Hdrs W/90,K Hdrs/90,Int/90,Blk/90,Clr/90,Pres C/90,Pres A/90,Fls,Distance,Rec,Salary,Expires,Transfer Value
Rúben Dias,Man City,Premier League,POR,D (C),-,Right,Set,,27,"4,222",76.12,5.29,94%,0.06,0.02,0.13,82%,75%,0.96,0.19,6.4,0.58,3.26,0.51,0.66,1.41,3.03,62,319.0mi,- - -,"$325,000 p/w",6/30/27,Not for Sale
Virgil van Dijk,Liverpool,Premier League,NED,D (C),-,Right,Set,,32,"4,271",72.93,6.11,93%,0.06,0.03,0.19,74%,78%,0.84,0.19,7,0.82,3.25,0.65,0.89,1.64,3.9,36,317.5mi,- - -,"$325,000 p/w",6/30/25,Not for Sale
Aymeric Laporte,Man City,Premier League,ESP,D (C),Trained in nation (0-21),Left,Set,,30,"3,248",73.46,5.29,94%,0.05,0.03,0.17,85%,72%,1.08,0.28,6.01,0.67,2.91,0.64,1.05,1.63,3.88,16,246.6mi,- - -,"$325,000 p/w",6/30/26,Not for Sale
Raphaël Varane,Man Utd,Premier League,FRA,D (C),Trained in nation (15-21),Right,Set,,31,"3,528",62.6,4.92,92%,0.05,0.03,0.13,74%,78%,1.02,0.36,8.09,0.97,2.6,0.84,1.35,1.94,3.93,20,270.3mi,- - -,"$350,000 p/w",6/30/26,Not for Sale
Matthijs de Ligt,Bayern München,Bundesliga,NED,"D (C), DM",-,Right,,,24,"2,270",79.33,6.22,94%,0.14,0.02,0.32,75%,84%,0.71,0.12,7.14,0.44,2.42,0.12,0.59,2.3,5.71,29,181.9mi,- - -,"$300,000 p/w",6/30/26,$86M - $108M
Milan Škriniar,Inter,Serie A TIM,SVK,D (C),-,Right,Wnt,,29,"4,408",72.28,5.23,91%,0.04,0.02,0.1,68%,76%,0.94,0.12,6.76,0.61,3.14,0.57,1.23,1.43,4.25,49,355.7mi,- - -,"$105,000 p/w",6/30/23,$16M - $19M
Sergio Ramos,Paris Saint-Germain,Ligue 1 Uber Eats,ESP,D (C),-,Right,Wnt,,38,"2,441",73.33,5.83,91%,0.08,0.05,0.11,52%,87%,0.48,0.15,11.58,0.96,3.95,0.63,0.92,1.33,3.47,18,192.6mi,- - -,"$145,000 p/w",6/30/24,$750K - $10M
John Stones,Man City,Premier League,ENG,"D (RC), DM",-,Right,,,30,"2,163",68.2,5.78,92%,0.13,0.06,1.17,87%,80%,1.37,0.25,7.91,0.62,4.62,0.37,0.79,2.29,6.41,20,179.6mi,- - -,"$230,000 p/w",6/30/25,$147M - $178M
Marquinhos,Paris Saint-Germain,Ligue 1 Uber Eats,BRA,"D (C), DM",-,Right,,,30,"4,556",67.05,6.18,92%,0.05,0.08,0.12,79%,67%,0.99,0.22,7.23,0.43,3.38,0.65,1.03,1.78,4.8,17,371.0mi,- - -,"$235,000 p/w",6/30/26,Not for Sale
Jules Koundé,Barcelona,LaLiga Santander,FRA,"D (RC), WB (R)",Trained at club (15-21),Right,,,25,"3,668",51.62,5.4,89%,0.07,0.14,4.12,82%,80%,2.11,0.12,4.98,0.29,3.83,0.81,0.98,4.24,10.58,55,332.1mi,- - -,"$180,000 p/w",6/30/26,$140M - $187M
David Alaba,Real Madrid,LaLiga Santander,AUT,"D (LC), WB (L), M (C)",-,Left,,,31,"4,313",57.68,6.57,91%,0.08,0.1,3.11,82%,71%,2.36,0.21,4.07,0.27,3.82,0.61,0.77,4.4,9.91,46,381.1mi,- - -,"$425,000 p/w",6/30/25,Not for Sale
Dayot Upamecano,Bayern München,Bundesliga,FRA,D (C),Trained in nation (0-21),Right,,,25,"4,320",76.77,5.73,93%,0.09,0.03,0.17,86%,73%,1.06,0.23,6.67,0.44,3.44,0.73,1.1,1.54,3.65,42,330.7mi,- - -,"$210,000 p/w",6/30/27,$67M - $102M
Lucas Hernández,Bayern München,Bundesliga,FRA,D (LC),-,Left Only,,,28,"3,187",71.93,5.65,94%,0.03,0.04,0.68,79%,66%,1.16,0.28,5.08,0.34,3.78,0.71,0.96,1.69,4.38,51,256.5mi,- - -,"$245,000 p/w",6/30/27,$75M - $90M
Ronald Araujo,Barcelona,LaLiga Santander,URU,D (C),-,Right,,,25,"3,703",80.5,5.32,93%,0.06,0.01,0.05,80%,81%,1.19,0.41,7.36,0.56,2.67,1.02,1.19,2.07,4.42,39,282.8mi,- - -,"$145,000 p/w",6/30/27,$100M - $152M
Alessandro Bastoni,Inter,Serie A TIM,ITA,D (C),-,Left,Wnt,,25,"4,277",73.57,5.47,93%,0.04,0.02,0.23,75%,74%,0.82,0.23,5.66,0.69,3.66,0.65,1.01,1.24,4,38,324.7mi,- - -,"$110,000 p/w",6/30/27,$76M - $118M
Benjamin Pavard,Bayern München,Bundesliga,FRA,"D (RC), WB (R)",Trained in nation (15-21),Right,Wnt,,28,"1,954",57.48,6.4,90%,0.06,0.24,3.78,78%,78%,1.93,0.05,4.88,0.32,3.82,0.51,0.69,3.87,11.28,32,181.2mi,- - -,"$135,000 p/w",6/30/26,$56M - $86M
