Pos,Prev,Change,Name,Nation,Reputation
1st,1st,,Premier League,England,
2nd,2nd,,LaLiga Santander,Spain,
3rd,3rd,,Serie A TIM,Italy,
4th,4th,,Bundesliga,Germany,
5th,5th,,Ligue 1 Uber Eats,France,
6th,6th,,Liga Portugal Bwin,Portugal,
7th,7th,,Eredivisie,Netherlands,
8th,8th,,Tipico Bundesliga,Austria,
9th,9th,,cinch Premiership,Scotland,
10th,10th,,Tinkoff Russian Premier League,Russia,
11th,11th,,Mozzart Bet SuperLiga,Serbia,
12th,12th,,FavBet Liha,Ukraine,
13th,13th,,Jupiler Pro League,Belgium,
14th,14th,,Raiffeisen Super League,Switzerland,
15th,15th,,Stoiximan Super League,Greece,
16th,16th,,Sky Bet Championship,England,
17th,17th,,3F Superliga,Denmark,
18th,18th,,SuperSport Hrvatska nogometna liga,Croatia,
19th,19th,,Spor Toto Süper Lig,Turkey,
20th,20th,,Fortuna liga,Czech Republic,
21st,21st,,Eliteserien,Norway,
22nd,22nd,,Cyta Championship,Cyprus,
23rd,23rd,,Ligat Tel Aviv Stock Exchange,Israel,
24th,24th,,Allsvenskan,Sweden,
25th,25th,,efbet League,Bulgaria,
26th,26th,,2. Bundesliga,Germany,
27th,27th,,SuperLiga,Romania,
28th,28th,,Topaz Premyer Liqası,Azerbaijan,
29th,29th,,OTP Bank Liga,Hungary,
30th,30th,,Serie BKT,Italy,
31st,31st,,PKO Ekstraklasa,Poland,
32nd,32nd,,Priemjer Ligasy,Kazakhstan,
33rd,33rd,,Ligue 2 BKT,France,
34th,34th,,LaLiga SmartBank,Spain,
35th,35th,,Fortuna Liga,Slovakia,
36th,36th,,PrvaLiga Telemach,Slovenia,
37th,37th,,HPYBET 2.liga,Austria,
38th,38th,,Vyšejšaja Liha,Belarus,
39th,39th,,Divizia Naţională,Moldova,
40th,40th,,OBOS-ligaen,Norway,
41st,41st,,Sky Bet League One,England,
42nd,42nd,,Keuken Kampioen Divisie,Netherlands,
43rd,43rd,,Liga Portugal 2 SABSEG,Portugal,
44th,44th,,Veikkausliiga,Finland,
45th,45th,,M:tel Premier League,Bosnia-Herzegovina,
46th,46th,,Brack.ch Challenge League,Switzerland,
47th,47th,,Superettan,Sweden,
48th,48th,,Barcragujn Chumb,Armenia,
49th,49th,,Abissnet Superiore,Albania,
50th,50th,,SuperSport Prva nogometa liga,Croatia,
51st,51st,,Prva liga Srbija,Serbia,
52nd,52nd,,Prva Makedonska Fudbalska Liga,North Macedonia,
53rd,53rd,,cinch Championship,Scotland,
54th,54th,,Fortuna národní liga,Czech Republic,
55th,55th,,Super League 2 Betsson,Greece,
56th,56th,,TFF 1. Lig,Turkey,
57th,57th,,Liga 3,Portugal,
58th,58th,,Olimp-Russian Football Championship,Russia,
59th,59th,,3. Liga,Germany,
60th,60th,,Proximus League,Belgium,
61st,61st,,Liga Leumit,Israel,
62nd,62nd,,Pepsi-deildin,Iceland,
63rd,63rd,,NordicBet Liga,Denmark,
64th,64th,,Finnish First League,Finland,
65th,65th,,T-Com 1.CFL,Montenegro,
66th,66th,,Primera Federación,Spain,
67th,67th,,Campeonato Nacional Prio,Portugal,
68th,68th,,Fortuna I liga,Poland,
69th,69th,,Championnat National,France,
70th,70th,,Sky Bet League Two,England,
71st,71st,,Regionalliga,Germany,
72nd,72nd,,Merkantil Bank Liga,Hungary,
73rd,73rd,,2. Slovenska Nogometna Liga,Slovenia,
74th,74th,,PostNord-ligaen,Norway,
75th,75th,,SMScredit.lt A Lyga,Lithuania,
76th,76th,,Vtora Liga,Bulgaria,
77th,77th,,Ykkönen,Finland,
78th,78th,,Liga 2 Casa Pariurilor,Romania,
79th,79th,,Nationale 1,Belgium,
80th,80th,,Serie C,Italy,
81st,81st,,BGL Ligue,Luxembourg,
82nd,82nd,,Optibet Virslīga,Latvia,
83rd,83rd,,Fußball-Regionalliga,Austria,
84th,84th,,SuperSport Druga nogometna liga,Croatia,
85th,85th,,SSE Airtricity League,Republic of Ireland,
86th,86th,,Danske Bank Premiership,Northern Ireland,
87th,87th,,Kosovan Superleague,Kosovo,
88th,88th,,2. Liga,Slovakia,
89th,89th,,Kategoria e Parë,Albania,
90th,90th,,Spor Toto 2. Lig,Turkey,
91st,91st,,Persha Liha,Ukraine,
92nd,92nd,,2. division,Denmark,
93rd,93rd,,Segunda Federación,Spain,
94th,94th,,Betri deildin menn,Faroe Islands,
95th,95th,,Pieršaja Liha,Belarus,
96th,96th,,G Ethniki,Greece,
97th,97th,,Vanarama National League,England,
98th,98th,,BOV Premier League,Malta,
99th,99th,,A. Le Coq Premium liiga,Estonia,
100th,100th,,cinch League One,Scotland,
101st,101st,,Tweede Divisie,Netherlands,
102nd,102nd,,Kakkonen,Finland,
103rd,103rd,,Druha Liha,Ukraine,
104th,104th,,Division 1,Sweden,
105th,105th,,Inkasso-deild karla,Iceland,
106th,106th,,German Div. Lower,Germany,
107th,107th,,Promotion League,Switzerland,
108th,108th,,Championnat de France amateur,France,
109th,109th,,JD Cymru Premier,Wales,
110th,110th,,Crystalbet Erovnuli Liga,Georgia,
111th,111th,,Druga Crnogorska Fudbalska Liga,Montenegro,
112th,112th,,Argus Insurance Premier Division,Gibraltar,
113th,113th,,Byrynszy liga,Kazakhstan,
114th,114th,,Srpska liga,Serbia,
115th,115th,,II Liga,Poland,
116th,116th,,Divizia A,Moldova,
117th,117th,,Ukrainian Reg Div - Kyiv Weekend Superleague D2,Ukraine,
118th,118th,,Lliga Multisegur Assegurances,Andorra,
119th,119th,,Aradżin Chumb,Armenia,
